,Population Density,Population,Working Age Population,Youth Dependency Ratio,Unemployment Rate,GDP per Capita,Days of very strong heat stress,Average Monthly Salary,Average Rent Price,Average Cost of Living,Average Price Groceries,Last Data Update,City,Country,Arabic,Bengali,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,Estonian,Finnish,French,Gaelic,German,Greek,Hungarian,Irish,Italian,Latvian,Luxembourgish,Maltese,Norwegian,Polish,Portuguese,Romanian,Russian,Scots,Serbian,Slovak,Slovene,Spanish,Swedish,Turkish,Unknown,Urdu,Valencian,Food Prices,Gas Prices Calculator,Salary Calculator,Quality of Life,Crime,Pollution
0,310.0,2983513,2018818,20.1,10.2,55770.0,3,2500,1050,2061,340.0,2024-06-15,Vienna,Austria,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,22.5,1.55,2639.33,907.47,626.0799999999999,874.3000000000001
1,243.0,375489,250472,20.3,3.0,66689.0,0,3200,1100,2186,,2023-11-03,Salzburg,Austria,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.899999999999995,1.5,2639.33,872.8299999999999,545.52,891.73
2,681.0,3284548,2137425,27.5,10.7,62500.0,3,3350,1200,1900,,2023-04-22,Brussels,Belgium,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.360000000000007,1.64,2624.98,817.91,922.6500000000001,1016.64
3,928.0,1139663,723396,27.7,6.2,57595.0,3,2609,900,1953,,2024-08-09,Antwerp,Belgium,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.849999999999998,1.63,2624.98,849.4900000000002,753.1499999999999,1000.1400000000001
4,552.0,645813,417832,24.8,5.3,53311.0,2,2400,827,1200,120.0,2023-07-17,Gent,Belgium,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.19,1.61,2624.98,913.8299999999999,584.52,900.27
5,840.0,119765,74600,25.63,5.6,63083.0,0,2700,1250,1708,,2023-10-25,Bruges,Belgium,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.009999999999998,1.65,2624.98,874.79,595.57,893.1999999999999
6,272.0,1553106,1043522,21.4,2.3,43563.0,0,1300,450,1100,,2024-02-11,Sofia,Bulgaria,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,26.38,2.48,1028.65,731.73,767.7799999999999,1053.64
7,640.0,73895,46359,22.85,4.6,10089.92,0,1200,400,1100,,2023-12-30,Dobrich,Bulgaria,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,1028.65,0,0,0
8,1058.0,1384728,939270,22.3,4.7,80431.0,4,6636,3190,4862,,2023-05-06,Zurich,Switzerland,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.27000000000001,1.81,6291.96,987.2099999999999,569.27,889.7500000000001
9,1112.0,597269,404313,23.8,9.9,83747.0,1,5794,2818,4263,,2024-09-28,Geneva,Switzerland,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.25,1.8,6291.96,964.6299999999999,641.02,902.6400000000001
