City,Country,Population,Average Monthly Salary,Average Cost of Living,Latitude,Longitude
Vienna,Austria,2983513,2500,2061,48°12′30″N,16°22′21″E
Salzburg,Austria,375489,3200,2186,47°48′00″N,13°02′42″E
Brussels,Belgium,3284548,3350,1900,50°50′48″N,04°21′09″E
Antwerp,Belgium,1139663,2609,1953,51°13′04″N,04°24′01″E
Gent,Belgium,645813,2400,1200,51°03′13″N,03°43′31″E
Bruges,Belgium,119765,2700,1708,51°12′32″N,03°13′27″E
Sofia,Bulgaria,1553106,1300,1100,42°42′N,23°20′E
Dobrich,Bulgaria,73895,1200,1100,43°34′N,27°50′E
Zurich,Switzerland,1384728,6636,4862,47°22′28″N,08°32′28″E
Geneva,Switzerland,597269,5794,4263,46°12′06″N,06°08′49″E
Basel,Switzerland,550152,6366,4239,47°33′17″N,07°35′26″E
Lefkosia,Cyprus,356400,1486,1350,35°10′21″N,33°21′54″E
Lemesos,Cyprus,262238,2500,2300,34°40′29″N,33°02′39″E
Prague,Czechia,2231212,1860,1590,50°5′15″N,14°25′17″E
Ostrava,Czechia,711860,1520,1100,49°50′8″N,18°17′33″E
Berlin,Germany,5303922,3200,2200,52°31′12″N,13°24′18″E
Hamburg,Germany,3315036,3500,2100,53°33′N,10°00′E
Munich,Germany,2907752,3540,2550,48°08′15″N,11°34′30″E
Cologne,Germany,2002550,3200,2000,50°56′11″N,6°57′10″E
Frankfurt am Main,Germany,2710501,3800,2350,50°06′38″N,08°40′56″E
Stuttgart,Germany,2787449,3300,2300,48°46′39″N,09°10′48″E
Leipzig,Germany,1043613,2800,1600,51°20′24″N,12°22′30″E
Dresden,Germany,1343213,3050,1530,51°03′00″N,13°44′24″E
Dusseldorf,Germany,1554077,3200,2050,51°13′32″N,6°46′36″E
Hanover,Germany,1316467,2800,1800,52°22′N,9°43′E
Copenhagen,Denmark,1933919,4200,2750,55°40′34″N,12°34′06″E
Odense,Denmark,382711,3400,2100,55°23′45″N,10°23′19″E
Madrid,Spain,6882461,2271,1589,40°30′N,3°40′W
Barcelona,Spain,5034925,2094,1630,41°23′N,2°11′E
Valencia,Spain,1748142,2400,1300,39°28′12″N,00°22′35″W
Seville,Spain,1549641,2300,1150,37°23′24″N,5°59′24″W
Malaga,Spain,869096,2200,1400,36°43′10″N,4°25′12″W
Tallinn,Estonia,390860,1700,1600,59°26′14″N,24°44′43″E
Helsinki,Finland,1507140,3900,2050,60°10′15″N,24°56′15″E
Tampere,Finland,444370,3500,1600,61°29′53″N,23°45′36″E
Paris,France,2110000,3300,2400,48°51′24″N,2°21′8″E
Lyon,France,520774,2300,1800,45°46′03″N,4°50′06″E
Toulouse,France,511684,2600,1600,43°36′16″N,1°26′38″E
London,United Kingdom,12396541,2750,2800,51°30′26″N,0°7′39″W
Leeds,United Kingdom,2641062,2300,2000,53°47′51″N,01°32′37″W
Glasgow,United Kingdom,1845020,2300,1950,55°51′40″N,04°15′00″W
Liverpool,United Kingdom,1544216,2250,1800,53°24′26″N,2°59′30″W
Edinburgh,United Kingdom,907580,2500,2050,55°57′12″N,3°11′21″W
Athens,Greece,3530371,1050,1200,37°59′03″N,23°43′41″E
Thessaloniki,Greece,1050568,1000,1100,40°38′25″N,22°56′8″E
Zagreb,Croatia,1217131,1570,1330,45°48′47″N,15°58′39″E
Split,Croatia,354264,1500,1250,43°30′36″N,16°26′24″E
Budapest,Hungary,2997506,1100,1080,47°29′33″N,19°03′05″E
Miskolc,Hungary,283319,1000,900,48°06′15″N,20°47′30″E
Debrecen,Hungary,328409,1000,950,47°31′54″N,21°37′28″E
Dublin,Ireland,1971242,2900,2700,53°21′00″N,06°15′37″W
Cork,Ireland,439101,2700,2600,51°53′50″N,8°28′12″W
Rome,Italy,4335555,1600,1500,41°53′36″N,12°28′58″E
Milan,Italy,4965808,1700,1700,45°28′01″N,09°11′24″E
Naples,Italy,3362207,1200,1000,40°50′9″N,14°14′55″E
Turin,Italy,1733674,1300,950,45°04′45″N,07°40′34″E
Florence,Italy,794659,1300,1300,43°46′17″N,11°15′15″E
Venice,Italy,557748,1400,1500,45°26′15″N,12°20′9″E
Luxembourg,Luxembourg,610825,4200,3300,49°36′42″N,6°7′55″E
Riga,Latvia,930245,1300,1250,56°56′56″N,24°6′23″E
Valletta,Malta,456490,1450,1400,35°53′54″N,14°30′45″E
The Hague,Netherlands,1103137,3500,2000,52°04′48″N,04°18′36″E
Amsterdam,Netherlands,2862590,3750,2550,52°22′22″N,04°53′37″E
Rotterdam,Netherlands,1860582,3100,2100,51°55′N,4°29′E
Utrecht,Netherlands,898712,3200,2000,52°05′27″N,05°07′18″E
Eindhoven,Netherlands,760059,3100,1900,51°26′N,5°29′E
Oslo,Norway,1398715,3600,2200,59°54′48″N,10°44′20″E
Bergen,Norway,419854,3500,2100,60°23′22″N,5°19′48″E
Stavanger,Norway,339690,3500,2000,58°58′12″N,05°43′53″E
Warsaw,Poland,3181548,1500,1450,52°13′48″N,21°00′40″E
Lodz,Poland,907836,1200,1200,51°46′37″N,19°27′17″E
Cracow,Poland,1410424,1400,1500,50°03′41″N,19°56′14″E
Lisbon,Portugal,3008000,1220,1600,38°43′31″N,09°09′00″W
Porto,Portugal,1280190,1100,1400,41°9′0″N,8°36′39″W
Braga,Portugal,247719,1000,1100,41°33′4″N,8°25′42″W
Coimbra,Portugal,264656,1000,1050,40°12′10″N,8°24′50″W
Giroc,Romania,351851,900,900,45°42′N,21°14′E
Bratislava,Slovak Republic,440611,1200,1250,48°08′38″N,17°06′35″E
Ljubljana,Slovenia,292988,1600,1550,46°03′05″N,14°30′22″E
Stockholm,Sweden,2344124,2700,2300,59°19′46″N,18°4′7″E
Gothenburg,Sweden,1037675,2500,2100,57°42′27″N,11°58′03″E
Malmo,Sweden,680335,2400,2000,55°36′21″N,13°02′09″E
Ankara,Turkiye,4843511,900,900,39°55′44″N,32°51′17″E
Adana,Turkiye,1074543,750,800,37°0′N,35°19.28′E
